,depth_[m],thickness_[m],temp_[k],attenuation_model,twoway_loss_[db],sim_name
layer1178,11773.363818233775,10.002857959421817,180.47169190696485,low_loss,0.0011079431473758907,VarK_Conductivity_d35
layer1179,11783.366676193196,10.002857959421817,180.5006668943798,low_loss,0.001114340444686667,VarK_Conductivity_d35
layer1180,11793.369534152618,10.002857959421817,180.52964894678564,low_loss,0.0011207741618529557,VarK_Conductivity_d35
layer1181,11803.37239211204,10.002857959421817,180.55863806639297,low_loss,0.0011272445033740396,VarK_Conductivity_d35
layer1182,11813.375250071462,10.002857959392713,180.58763425541335,low_loss,0.0011337516748809301,VarK_Conductivity_d35
layer1183,11823.378108030854,10.002857959421817,180.61663751605906,low_loss,0.0011402958831426113,VarK_Conductivity_d35
layer1184,11833.380965990276,10.002857959421817,180.64564785054324,low_loss,0.0011468773360721275,VarK_Conductivity_d35
layer1185,11843.383823949698,10.002857959421817,180.6746652610799,low_loss,0.0011534962427328938,VarK_Conductivity_d35
layer1186,11853.38668190912,10.002857959421817,180.7036897498838,low_loss,0.0011601528133449457,VarK_Conductivity_d35
layer1187,11863.389539868542,10.002857959421817,180.7327213191707,low_loss,0.00116684725929124,VarK_Conductivity_d35
layer1188,11873.392397827934,10.002857959392713,180.761759971157,low_loss,0.001173579793123972,VarK_Conductivity_d35
layer1189,11883.395255787356,10.002857959421817,180.79080570806005,low_loss,0.0011803506285710218,VarK_Conductivity_d35
layer1190,11893.398113746778,10.002857959421817,180.819858532098,low_loss,0.0011871599805422417,VarK_Conductivity_d35
layer1191,11903.4009717062,10.002857959421817,180.8489184454899,low_loss,0.001194008065135972,VarK_Conductivity_d35
layer1192,11913.403829665622,10.002857959421817,180.87798545045555,low_loss,0.0012008950996454937,VarK_Conductivity_d35
layer1193,11923.406687625044,10.002857959421817,180.9070595492157,low_loss,0.001207821302565536,VarK_Conductivity_d35
layer1194,11933.409545584465,10.002857959392713,180.93614074399179,low_loss,0.0012147868935987979,VarK_Conductivity_d35
layer1195,11943.412403543858,10.002857959421817,180.96522903700614,low_loss,0.0012217920936626059,VarK_Conductivity_d35
layer1196,11953.41526150328,10.002857959421817,180.99432443048195,low_loss,0.0012288371248954052,VarK_Conductivity_d35
layer1197,11963.418119462702,10.002857959421817,181.02342692664328,low_loss,0.0012359222106634884,VarK_Conductivity_d35
layer1198,11973.420977422124,10.002857959421817,181.052536527715,low_loss,0.0012430475755676584,VarK_Conductivity_d35
layer1199,11983.423835381545,10.002857959421817,181.08165323592286,low_loss,0.001250213445449948,VarK_Conductivity_d35
layer1200,11993.426693340938,10.002857959392713,181.1107770534933,low_loss,0.001257420047400353,VarK_Conductivity_d35
layer1201,12003.42955130036,10.002857959421817,181.13990798265377,low_loss,0.0012646676097637082,VarK_Conductivity_d35
layer1202,12013.432409259782,10.002857959421817,181.16904602563247,low_loss,0.0012719563621463891,VarK_Conductivity_d35
layer1203,12023.435267219204,10.002857959421817,181.1981911846585,low_loss,0.0012792865354232595,VarK_Conductivity_d35
layer1204,12033.438125178625,10.002857959421817,181.22734346196174,low_loss,0.0012866583617445518,VarK_Conductivity_d35
layer1205,12043.440983138047,10.002857959421817,181.256502859773,low_loss,0.0012940720745428051,VarK_Conductivity_d35
layer1206,12053.443841097469,10.002857959392713,181.2856693803239,low_loss,0.001301527908539818,VarK_Conductivity_d35
layer1207,12063.446699056862,10.002857959421817,181.3148430258468,low_loss,0.0013090260997537478,VarK_Conductivity_d35
layer1208,12073.449557016284,10.002857959421817,181.34402379857508,low_loss,0.0013165668855060306,VarK_Conductivity_d35
layer1209,12083.452414975705,10.002857959421817,181.37321170074281,low_loss,0.001324150504428555,VarK_Conductivity_d35
layer1210,12093.455272935127,10.002857959421817,181.402406734585,low_loss,0.0013317771964707667,VarK_Conductivity_d35
layer1211,12103.458130894549,10.002857959421817,181.4316089023375,low_loss,0.0013394472029068312,VarK_Conductivity_d35
layer1212,12113.460988853942,10.002857959392713,181.4608182062369,low_loss,0.0013471607663428139,VarK_Conductivity_d35
layer1213,12123.463846813363,10.002857959421817,181.4900346485207,low_loss,0.00135491813072401,VarK_Conductivity_d35
layer1214,12133.466704772785,10.002857959421817,181.51925823142727,low_loss,0.0013627195413420895,VarK_Conductivity_d35
layer1215,12143.469562732207,10.002857959421817,181.5484889571959,low_loss,0.0013705652448425046,VarK_Conductivity_d35
layer1216,12153.472420691629,10.002857959421817,181.5777268280666,low_loss,0.0013784554892318245,VarK_Conductivity_d35
layer1217,12163.47527865105,10.002857959421817,181.60697184628026,low_loss,0.0013863905238851327,VarK_Conductivity_d35
layer1218,12173.478136610473,10.002857959392713,181.6362240140786,low_loss,0.0013943705995534386,VarK_Conductivity_d35
layer1219,12183.480994569865,10.002857959421817,181.6654833337042,low_loss,0.0014023959683712472,VarK_Conductivity_d35
layer1220,12193.483852529287,10.002857959421817,181.69474980740048,low_loss,0.0014104668838639356,VarK_Conductivity_d35
layer1221,12203.486710488709,10.002857959421817,181.72402343741174,low_loss,0.0014185836009554015,VarK_Conductivity_d35
layer1222,12213.48956844813,10.002857959421817,181.75330422598313,low_loss,0.0014267463759756365,VarK_Conductivity_d35
layer1223,12223.492426407553,10.002857959421817,181.78259217536063,low_loss,0.0014349554666683634,VarK_Conductivity_d35
layer1224,12233.495284366945,10.002857959392713,181.81188728779102,low_loss,0.0014432111321986895,VarK_Conductivity_d35
layer1225,12243.498142326367,10.002857959421817,181.84118956552206,low_loss,0.0014515136331609219,VarK_Conductivity_d35
layer1226,12253.501000285789,10.002857959421817,181.87049901080226,low_loss,0.0014598632315861832,VarK_Conductivity_d35
layer1227,12263.50385824521,10.002857959421817,181.899815625881,low_loss,0.0014682601909503093,VarK_Conductivity_d35
layer1228,12273.506716204633,10.002857959421817,181.92913941300847,low_loss,0.0014767047761816679,VarK_Conductivity_d35
layer1229,12283.509574164054,10.002857959421817,181.95847037443576,low_loss,0.0014851972536690445,VarK_Conductivity_d35
layer1230,12293.512432123476,10.002857959392713,181.9878085124148,low_loss,0.001493737891269544,VarK_Conductivity_d35
