Regolith Depth [m],0.1 W/mK,0.025 W/mK,0.001 W/mK
700,58.53100885967416,11.603315232923654,2.3435267219205187
400,69.7342097742212,29.00828808230922,1.686196056015989
250,75.53586739068302,48.15661617605033,1.4575593026579425
100,81.73763932552156,70.7059159759931,1.9434124035438956
0,86.05315804515575,86.05315804515575,86.05315804515575
