,layerNum,depth_[m],thickness_[km],temp_[k],attenuation_model,twoway_loss_[db],column
0,1,-1.7462298274040222e-10,159.09090909096994,110.0,low_loss,1.4616867574232677e-14,column_0
1,2,159.09090909079532,318.1818181818235,110.7278291795882,low_loss,5.742501895192945e-14,column_0
2,3,477.2727272726188,318.18181818176527,112.19980460404776,low_loss,1.48616924877273e-13,column_0
3,4,795.4545454543841,318.1818181818526,113.69324769417288,low_loss,3.4114087791792873e-13,column_0
4,5,1113.6363636362366,318.1818181818235,115.2084993156582,low_loss,7.440001818479755e-13,column_0
5,6,1431.81818181806,318.18181818179437,116.74590618864615,low_loss,1.5796095056965884e-12,column_0
6,7,1749.9999999998545,318.1818181818235,118.30582099589239,low_loss,3.297815078709616e-12,column_0
7,8,2068.181818181678,318.1818181818235,119.88860249307004,low_loss,6.800566099649276e-12,column_0
8,9,2386.3636363635014,318.1818181818235,121.49461562125869,low_loss,1.388076835723004e-11,column_0
9,10,2704.545454545325,318.1818181818235,123.12423162166371,low_loss,2.8072124069753716e-11,column_0
10,11,3022.7272727271484,318.18181818176527,124.77782815261389,low_loss,5.6280828137172135e-11,column_0
11,12,3340.9090909089136,318.1818181818235,126.45578940888473,low_loss,1.1189202484171081e-10,column_0
12,13,3659.090909090737,318.1818181818817,128.15850624339788,low_loss,2.2063461333675597e-10,column_0
13,14,3977.272727272619,318.1818181818235,129.88637629134496,low_loss,4.3156226137925423e-10,column_0
14,15,4295.454545454442,318.18181818179437,131.63980409678945,low_loss,8.374458643796491e-10,column_0
15,16,4613.636363636237,318.18181818179437,133.41920124179939,low_loss,1.6123376095279584e-09,column_0
16,17,4931.818181818031,318.1818181818235,135.22498647816238,low_loss,3.0802127446898306e-09,column_0
17,18,5249.9999999998545,318.18181818179437,137.05758586174173,low_loss,5.839407867742608e-09,column_0
18,19,5568.181818181649,318.18181818179437,138.91743288952514,low_loss,1.0986444419665452e-08,column_0
19,20,5886.363636363443,318.1818181818817,140.8049686394291,low_loss,2.0515494322243256e-08,column_0
20,21,6204.545454545325,318.18181818179437,142.72064191291474,low_loss,3.8025854829250456e-08,column_0
21,22,6522.727272727119,318.1818181818526,144.66490938047394,low_loss,6.996541982016395e-08,column_0
22,23,6840.909090908972,318.1818181818235,146.63823573005286,low_loss,1.2779982543978456e-07,column_0
23,24,7159.090909090795,318.18181818176527,148.64109381846976,low_loss,2.3176826797798252e-07,column_0
24,25,7477.272727272561,318.1818181818526,150.67396482589535,low_loss,4.1733882034397204e-07,column_0
25,26,7795.454545454413,318.1818181818526,152.73733841346188,low_loss,7.462228551334244e-07,column_0
26,27,8113.636363636266,318.18181818179437,154.83171288406476,low_loss,1.3250332917105535e-06,column_0
27,28,8431.81818181806,318.18181818179437,156.95759534643017,low_loss,2.336666416863779e-06,column_0
28,29,8749.999999999854,318.18181818179437,159.11550188251763,low_loss,4.092712185876586e-06,column_0
29,30,9068.181818181649,318.1818181818526,161.3059577183292,low_loss,7.120374095410677e-06,column_0
30,31,9386.363636363501,318.1818181818235,163.52949739819815,low_loss,1.2305627896440877e-05,column_0
31,32,9704.545454545325,318.18181818176527,165.78666496263634,low_loss,2.1127398901592303e-05,column_0
32,33,10022.72727272709,318.1818181818526,168.07801412981422,low_loss,3.603804202529889e-05,column_0
33,34,10340.909090908943,318.1818181818235,170.40410848075567,low_loss,6.107740122132937e-05,column_0
34,35,10659.090909090766,318.1818181818526,172.7655216483227,low_loss,0.00010285729992318421,column_0
35,36,10977.272727272619,318.18181818176527,175.16283751008226,low_loss,0.00017212961285497288,column_0
36,37,11295.454545454384,318.1818181818235,177.59665038513046,low_loss,0.0002862677085829977,column_0
37,38,11613.636363636208,318.1818181818235,180.0675652349679,low_loss,0.00047316817322403266,column_0
38,39,11931.818181818031,318.1818181818526,182.57619786850933,low_loss,0.0007773469188719237,column_0
39,40,12249.999999999884,318.18181818176527,185.12317515132304,low_loss,0.0012694042204216894,column_0
40,41,12568.181818181649,318.1818181818235,187.7091352191882,low_loss,0.0020606294835189684,column_0
41,42,12886.363636363472,318.1818181818235,190.3347276960714,low_loss,0.003325398701913626,column_0
42,43,13204.545454545296,318.1818181818526,193.00061391660893,low_loss,0.005335314429566908,column_0
43,44,13522.727272727148,318.18181818176527,195.70746715320564,low_loss,0.008510932672254865,column_0
44,45,13840.909090908914,318.1818181818235,198.455972847842,low_loss,0.013499671680552954,column_0
45,46,14159.090909090737,318.1818181818817,201.2468288486956,low_loss,0.021292466385509634,column_0
46,47,14477.272727272619,318.18181818176527,204.08074565168135,low_loss,0.03339742378151713,column_0
47,48,14795.454545454384,318.1818181818235,206.9584466470206,low_loss,0.05209684752853309,column_0
48,49,15113.636363636208,318.18181818179437,209.88066837093135,low_loss,0.08082549545713526,column_0
49,50,15431.818181818002,318.1818181818235,212.84816076255433,low_loss,0.12472412529630841,column_0
50,51,15749.999999999825,318.1818181818235,215.8616874262362,low_loss,0.19144505662551062,column_0
51,52,16068.181818181649,318.1818181818817,218.92202589925128,low_loss,0.29231804054891647,column_0
52,53,16386.36363636353,318.18181818176527,222.0299679250544,low_loss,0.44402841648600255,column_0
53,54,16704.545454545296,318.1818181818235,225.1863197320798,low_loss,0.6710196603737638,column_0
54,55,17022.72727272712,318.1818181818235,228.39190231847124,low_loss,1.0089147073674223,column_0
55,56,17340.909090908943,318.1818181818235,231.64755174283306,low_loss,1.5093623976610318,column_0
56,57,17659.090909090766,318.18181818179437,234.95411942074662,low_loss,2.2468669126375866,column_0
57,58,17977.27272727256,318.18181818179437,238.3124724279571,low_loss,3.3283619861965468,column_0
58,59,18295.454545454355,318.1818181818817,241.72349380514146,low_loss,4.906564618396767,column_0
59,60,18613.636363636237,318.18181818179437,245.18808287053727,low_loss,7.198506379525332,column_0
60,61,18931.81818181803,318.18181818179437,248.70715555294916,low_loss,10.511121541274512,column_0
61,62,19249.999999999825,318.1818181818235,252.28164470625023,low_loss,15.276404993639577,column_0
62,63,19568.18181818165,318.1818181818235,255.91250044582648,low_loss,22.099483225270568,column_0
63,64,19886.363636363472,318.18181818179437,259.60069050943457,low_loss,31.82402386883797,column_0
64,65,20204.545454545267,318.1818181818526,263.34720069177456,low_loss,45.620812649067084,column_0
65,66,20522.72727272712,318.1818181818235,267.15303518071187,low_loss,65.10713668908069,column_0
66,67,20840.909090908943,159.09090909088263,271.0192198854313,low_loss,78.80704011240626,column_0
67,68,20999.999999999825,159.09090909088263,272.976,low_loss,95.02645297478514,column_0
0,1,-1.7462298274040222e-10,159.09090909096994,110.0,low_loss,1.4616867574232677e-14,column_1
1,2,159.09090909079532,318.1818181818235,110.7278291795882,low_loss,5.742501895192945e-14,column_1
2,3,477.2727272726188,318.18181818176527,112.19980460404776,low_loss,1.48616924877273e-13,column_1
3,4,795.4545454543841,318.1818181818526,113.69324769417288,low_loss,3.4114087791792873e-13,column_1
4,5,1113.6363636362366,318.1818181818235,115.2084993156582,low_loss,7.440001818479755e-13,column_1
5,6,1431.81818181806,318.18181818179437,116.74590618864615,low_loss,1.5796095056965884e-12,column_1
6,7,1749.9999999998545,318.1818181818235,118.30582099589239,low_loss,3.297815078709616e-12,column_1
