,layerNum,depth_[m],thickness_[km],temp_[k],attenuation_model,twoway_loss_[db],column
0,1,-1.7462298274040222e-10,159.09090909096994,110.0,high_loss,0.0004829723458193097,column_0
1,2,159.09090909079532,318.1818181818235,110.7278291795882,high_loss,0.0015849533270513377,column_0
2,3,477.2727272726188,318.18181818176527,112.19980460404776,high_loss,0.0030159270967100096,column_0
3,4,795.4545454543841,318.1818181818526,113.69324769417288,high_loss,0.00486835583866284,column_0
4,5,1113.6363636362366,318.1818181818235,115.2084993156582,high_loss,0.007259016558484696,column_0
5,6,1431.81818181806,318.18181818179437,116.74590618864615,high_loss,0.010334937556905267,column_0
6,7,1749.9999999998545,318.1818181818235,118.30582099589239,high_loss,0.014280666697478565,column_0
7,8,2068.181818181678,318.1818181818235,119.88860249307004,high_loss,0.01932714204262919,column_0
8,9,2386.3636363635014,318.1818181818235,121.49461562125869,high_loss,0.025762484134479787,column_0
9,10,2704.545454545325,318.1818181818235,123.12423162166371,high_loss,0.03394508538317568,column_0
10,11,3022.7272727271484,318.18181818176527,124.77782815261389,high_loss,0.04431943660620901,column_0
11,12,3340.9090909089136,318.1818181818235,126.45578940888473,high_loss,0.05743520471759576,column_0
12,13,3659.090909090737,318.1818181818817,128.15850624339788,high_loss,0.07397015994406535,column_0
13,14,3977.272727272619,318.1818181818235,129.88637629134496,high_loss,0.09475764686087723,column_0
14,15,4295.454545454442,318.18181818179437,131.63980409678945,high_loss,0.12081940216786641,column_0
15,16,4613.636363636237,318.18181818179437,133.41920124179939,high_loss,0.15340464469791615,column_0
16,17,4931.818181818031,318.1818181818235,135.22498647816238,high_loss,0.19403650094446723,column_0
17,18,5249.9999999998545,318.18181818179437,137.05758586174173,high_loss,0.2445669837292354,column_0
18,19,5568.181818181649,318.18181818179437,138.91743288952514,high_loss,0.3072419138508396,column_0
19,20,5886.363636363443,318.1818181818817,140.8049686394291,high_loss,0.38477736601786944,column_0
20,21,6204.545454545325,318.18181818179437,142.72064191291474,high_loss,0.48044943243367444,column_0
21,22,6522.727272727119,318.1818181818526,144.66490938047394,high_loss,0.598199331405289,column_0
22,23,6840.909090908972,318.1818181818235,146.63823573005286,high_loss,0.7427561455994264,column_0
23,24,7159.090909090795,318.18181818176527,148.64109381846976,high_loss,0.919779756321456,column_0
24,25,7477.272727272561,318.1818181818526,150.67396482589535,high_loss,1.1360268476322521,column_0
25,26,7795.454545454413,318.1818181818526,152.73733841346188,high_loss,1.3995431883537786,column_0
26,27,8113.636363636266,318.18181818179437,154.83171288406476,high_loss,1.7198857620734125,column_0
27,28,8431.81818181806,318.18181818179437,156.95759534643017,high_loss,2.1083787060870303,column_0
28,29,8749.999999999854,318.18181818179437,159.11550188251763,high_loss,2.5784074407282986,column_0
29,30,9068.181818181649,318.1818181818526,161.3059577183292,high_loss,3.1457558216306896,column_0
30,31,9386.363636363501,318.1818181818235,163.52949739819815,high_loss,3.8289916301874523,column_0
31,32,9704.545454545325,318.18181818176527,165.78666496263634,high_loss,4.6499062331412295,column_0
32,33,10022.72727272709,318.1818181818526,168.07801412981422,high_loss,5.634014792733562,column_0
33,34,10340.909090908943,318.1818181818235,170.40410848075567,high_loss,6.811123997069749,column_0
34,35,10659.090909090766,318.1818181818526,172.7655216483227,high_loss,8.215974910846851,column_0
35,36,10977.272727272619,318.18181818176527,175.16283751008226,high_loss,9.888969226468694,column_0
36,37,11295.454545454384,318.1818181818235,177.59665038513046,high_loss,11.876987936006973,column_0
37,38,11613.636363636208,318.1818181818235,180.0675652349679,high_loss,14.234312262594926,column_0
38,39,11931.818181818031,318.1818181818526,182.57619786850933,high_loss,17.023657611826366,column_0
39,40,12249.999999999884,318.18181818176527,185.12317515132304,high_loss,20.31733236869443,column_0
40,41,12568.181818181649,318.1818181818235,187.7091352191882,high_loss,24.198534631647497,column_0
41,42,12886.363636363472,318.1818181818235,190.3347276960714,high_loss,28.76280152741265,column_0
42,43,13204.545454545296,318.1818181818526,193.00061391660893,high_loss,34.119627711661515,column_0
43,44,13522.727272727148,318.18181818176527,195.70746715320564,high_loss,40.39427220816622,column_0
