iceshell_depth,attenuation_model,min,max,mean,num_to_ocean
5,low_loss,26.853707414829408,100.0,76.1122244488978,7
5,high_loss,5.611222444889717,95.99198396793567,41.24248496993984,0
21,low_loss,8.956646021915228,100.0,73.7049388597745,5
21,high_loss,2.1438780371605564,87.94664125774177,44.001905669366366,0
35,low_loss,6.28751071734778,100.0,75.00619224540343,4
35,high_loss,1.4575593026579425,86.05315804515575,47.373535295798796,0
