sim_name,attenuation_model,twoway_loss,pen_depth,max_depth,pen_percent
VarK_shell_depth_d20,low_loss,99.71972542839555,19829.442591710336,21000.0,94.42591710338255
VarK_shell_depth_d35,low_loss,99.93718782076054,33419.54844241211,35000.0,95.48442412117745
VarK_shell_depth_d5,low_loss,99.58737740281217,4529.058116232452,5000.0,90.58116232464904
VarK_shell_depth_d20,high_loss,99.73192350593123,6873.272987136734,21000.0,32.729871367317784
VarK_shell_depth_d35,high_loss,99.93905959233493,16844.81280365819,35000.0,48.128036581880544
VarK_shell_depth_d5,high_loss,98.75032972085108,821.6432865731476,5000.0,16.432865731462954
VarK_Conductivity_0001,low_loss,99.6758504429344,2161.0290614578407,21000.0,10.29061457837067
VarK_Conductivity_0025,low_loss,99.71972542839555,19829.442591710336,21000.0,94.42591710338255
VarK_Conductivity_01,low_loss,95.30795507546294,21000.0,21000.0,100.0
VarK_Conductivity_0001,high_loss,99.09875362951432,440.2096236303041,21000.0,2.096236303001448
VarK_Conductivity_0025,high_loss,99.73192350593123,6873.272987136734,21000.0,32.729871367317784
VarK_Conductivity_01,high_loss,99.89260391599312,15107.19390185803,21000.0,71.93901858027634
VarK_Regolith_0,low_loss,53.39843830737285,21000.0,21000.0,100.0
VarK_Regolith_100,low_loss,99.29832295774708,20859.933301572164,21000.0,99.33301572177221
VarK_Regolith_400,low_loss,99.63270217943492,18578.847070033342,21000.0,88.4707003334921
VarK_Regolith_700,low_loss,99.7667010324675,15657.455931395903,21000.0,74.5593139590281
VarK_Regolith_0,high_loss,99.84727454487715,18458.78989995236,21000.0,87.89899952358266
VarK_Regolith_100,high_loss,99.92026837179156,13556.455454978568,21000.0,64.55454978561222
VarK_Regolith_400,high_loss,99.77669339934559,3451.643639828486,21000.0,16.436398284897553
VarK_Regolith_700,high_loss,99.512895490641,1800.8575512148673,21000.0,8.575512148642225
