Regolith Depth [m],0.1 W/mK,0.025 W/mK,0.001 W/mK
700,91.38276553106203,47.6953907815629,27.454909819639283
400,100.0,63.72745490981965,22.244488977955772
250,100.0,81.36272545090178,20.240480961923605
100,100.0,100.0,21.44288577154337
0,100.0,100.0,100.0
